ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
4024497	4024497	0	0
4024523	4024523	0	0
4024525	4024525	0	0
4024526	4024526	0	0
4024527	4024527	0	0
4024528	4024528	0	0
4024529	4024529	0	0
4034476	4034476	0	0
4034477	4034477	0	0
4034478	4034478	0	0
4034479	4034479	0	0
4034480	4034480	0	0
4034481	4034481	0	0
4034483	4034483	0	0
4034484	4034484	0	0
4034485	4034485	0	0
4034486	4034486	0	0
4034487	4034487	0	0
4034488	4034488	0	0
4034489	4034489	0	0
4034490	4034490	0	0
4034492	4034492	0	0
4034493	4034493	0	0
4034494	4034494	0	0
4034495	4034495	0	0
4034496	4034496	0	0
4034497	4034497	0	0
4024845	4024845	0	0
4024853	4024853	0	0
4024855	4024855	0	0
4024856	4024856	0	0
4024857	4024857	0	0
4024858	4024858	0	0
4024859	4024859	0	0
4024861	4024861	0	0
4024862	4024862	0	0
4024864	4024864	0	0
4024865	4024865	0	0
4024866	4024866	0	0
4024867	4024867	0	0
4026351	4026351	0	0
4026357	4026357	0	0
4026358	4026358	0	0
4026359	4026359	0	0
4026360	4026360	0	0
4026361	4026361	0	0
4026362	4026362	0	0
4026363	4026363	0	0
4026364	4026364	0	0
4026365	4026365	0	0
4026366	4026366	0	0
4026367	4026367	0	0
4026368	4026368	0	0
4026369	4026369	0	0
4026370	4026370	0	0
4026371	4026371	0	0
4026372	4026372	0	0
4026373	4026373	0	0
4024341	4024341	0	0
4024342	4024342	0	0
4024345	4024345	0	0
4024347	4024347	0	0
4024348	4024348	0	0
4024349	4024349	0	0
4024351	4024351	0	0
4024354	4024354	0	0
4024355	4024355	0	0
4026348	4026348	0	0
4024389	4024389	0	0
4024390	4024390	0	0
4024391	4024391	0	0
4024392	4024392	0	0
4024393	4024393	0	0
4024395	4024395	0	0
4024396	4024396	0	0
4024397	4024397	0	0
4024398	4024398	0	0
4024400	4024400	0	0
4024401	4024401	0	0
4024402	4024402	0	0
4024403	4024403	0	0
4024404	4024404	0	0
4024405	4024405	0	0
4024406	4024406	0	0
4024408	4024408	0	0
4024409	4024409	0	0
4019216	4019216	0	0
4019277	4019277	0	0
4019278	4019278	0	0
4019279	4019279	0	0
4019280	4019280	0	0
4019282	4019282	0	0
4019283	4019283	0	0
4019287	4019287	0	0
4019288	4019288	0	0
4019289	4019289	0	0
4019290	4019290	0	0
4019292	4019292	0	0
4019293	4019293	0	0
4019294	4019294	0	0
4019298	4019298	0	0
4019299	4019299	0	0
4019301	4019301	0	0
4019302	4019302	0	0
4019303	4019303	0	0
4019305	4019305	0	0
4019307	4019307	0	0
4019308	4019308	0	0
4019312	4019312	0	0
4019360	4019360	0	0
4019361	4019361	0	0
4019362	4019362	0	0
4019369	4019369	0	0
4019374	4019374	0	0
4019375	4019375	0	0
4019376	4019376	0	0
4019377	4019377	0	0
4019378	4019378	0	0
4019381	4019381	0	0
4019382	4019382	0	0
4019383	4019383	0	0
4019384	4019384	0	0
4019386	4019386	0	0
4025257	4025257	0	0
4025258	4025258	0	0
4025259	4025259	0	0
4025260	4025260	0	0
4023168	4023168	0	0
4023169	4023169	0	0
4023171	4023171	0	0
4023172	4023172	0	0
4023173	4023173	0	0
4023175	4023175	0	0
4023184	4023184	0	0
4023198	4023198	0	0
4023215	4023215	0	0
4023216	4023216	0	0
4023217	4023217	0	0
4023218	4023218	0	0
4023221	4023221	0	0
4023222	4023222	0	0
4023225	4023225	0	0
4023227	4023227	0	0
4023228	4023228	0	0
4023229	4023229	0	0
4024072	4024072	0	0
4024074	4024074	0	0
4024076	4024076	0	0
4024077	4024077	0	0
4024078	4024078	0	0
4023599	4023599	0	0
4023601	4023601	0	0
4019388	4019388	0	0
4019389	4019389	0	0
4019390	4019390	0	0
4019391	4019391	0	0
4019392	4019392	0	0
4019006	4019006	0	0
4019179	4019179	0	0
4019008	4019008	0	0
4019009	4019009	0	0
4019078	4019078	0	0
4019180	4019180	0	0
4019081	4019081	0	0
4019082	4019082	0	0
4019083	4019083	0	0
4019095	4019095	0	0
4019104	4019104	0	0
4019105	4019105	0	0
4019106	4019106	0	0
4019107	4019107	0	0
4019108	4019108	0	0
4019109	4019109	0	0
4019110	4019110	0	0
4019111	4019111	0	0
4019113	4019113	0	0
4019187	4019187	0	0
4019116	4019116	0	0
4019181	4019181	0	0
4019182	4019182	0	0
4019183	4019183	0	0
4019184	4019184	0	0
4019185	4019185	0	0
4019188	4019188	0	0
4019189	4019189	0	0
4019192	4019192	0	0
4019194	4019194	0	0
4019195	4019195	0	0
4019196	4019196	0	0
4019197	4019197	0	0
4019210	4019210	0	0
4034498	4034498	0	0
4034499	4034499	0	0
4034500	4034500	0	0
4034501	4034501	0	0
4034332	4034332	0	0
4034333	4034333	0	0
4034334	4034334	0	0
4034335	4034335	0	0
4034336	4034336	0	0
