concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
4101830	4297090	Has interprets	20110731	20991231	
4150111	4112563	Has laterality	20110731	20991231	
4052775	4221994	Using finding method	20110731	20991231	
4234419	4117981	Has method	20110731	20991231	
4219384	4053843	Has finding site	20110731	20991231	
4055176	4094819	Has asso morph	20110731	20991231	
4031476	4219601	Has finding site	20110731	20991231	
4262684	4271678	Has dir proc site	20110731	20991231	
4031106	4219881	Has asso morph	20110731	20991231	
4186538	4064144	Has active ing	20110731	20991231	
4115513	4043369	Has interprets	20110731	20991231	
4116341	4030288	Has asso morph	20110731	20991231	
4054992	4163835	Has asso morph	20110731	20991231	
4100787	4231016	Has method	20110731	20991231	
74606	4305589	Has asso morph	20110731	20991231	
4142124	4302112	Has finding site	20110731	20991231	
4001820	4250034	Has finding site	20110731	20991231	
4182149	4091183	Has interprets	20110731	20991231	
4215024	4044545	Has method	20110731	20991231	
75863	4232780	Has finding site	20110731	20991231	
4007249	4193189	Has finding site	20110731	20991231	
4143885	4044542	Has method	20110731	20991231	
4196012	4150246	Using device	20110731	20991231	
4032775	4231018	Has method	20110731	20991231	
4299121	40480911	Has pathology	20110731	20991231	
4121004	4112563	Has laterality	20110731	20991231	
72926	4121004	Has finding site	20110731	20991231	
4208193	4117981	Has method	20110731	20991231	
4008440	4044177	Has method	20110731	20991231	
4109195	4116830	Has occurrence	20110731	20991231	
4125357	4027909	Has dir proc site	20110731	20991231	
4219293	4188661	Has dir subst	20110731	20991231	
4309016	4000731	Finding asso with	20110731	20991231	
4102732	4283068	Has finding site	20110731	20991231	
4114965	4294899	Has interpretation	20110731	20991231	
4221189	4227147	Has asso morph	20110731	20991231	
4293870	4301506	Has dir proc site	20110731	20991231	
4075886	4044177	Has method	20110731	20991231	
4181780	4189433	Has dir subst	20110731	20991231	
4028335	4060028	Has indir proc site	20110731	20991231	
4229554	4300266	Has active ing	20110731	20991231	
4234983	4135211	Has part of	20110731	20991231	
4019789	4045056	Has method	20110731	20991231	
4342514	4045049	Has method	20110731	20991231	
4158415	40480911	Has pathology	20110731	20991231	
4130803	4298043	Has dose form	20110731	20991231	
4240410	4022675	Has dir subst	20110731	20991231	
4136042	4242721	Has active ing	20110731	20991231	
4163533	4235625	Has part of	20110731	20991231	
4310041	4239280	Has part of	20110731	20991231	
4218659	4217941	Has causative agent	20110731	20991231	
4123434	4227148	Has indir proc site	20110731	20991231	
4109911	4047129	Has part of	20110731	20991231	
4338747	4044190	Has method	20110731	20991231	
4218146	4049776	Has asso morph	20110731	20991231	
4237451	4091162	Has proc site	20110731	20991231	
4339039	4141316	Has dir proc site	20110731	20991231	
4013570	4044695	Has method	20110731	20991231	
4177285	4303110	Has causative agent	20110731	20991231	
373469	4295125	Has finding site	20110731	20991231	
4214243	4301973	Has component	20110731	20991231	
4060068	133861	Has asso finding	20110731	20991231	
4179391	4232481	Has finding site	20110731	20991231	
4260898	4174445	Has specimen	20110731	20991231	
4032847	4078068	Has asso morph	20110731	20991231	
4077145	4119359	Has part of	20110731	20991231	
4297854	4294756	Has dose form	20110731	20991231	
4196508	4191610	Has indir proc site	20110731	20991231	
4192689	4224241	Has dose form	20110731	20991231	
4002217	4022675	Has dir subst	20110731	20991231	
4236169	4070760	Has finding site	20110731	20991231	
4125272	4159757	Has interpretation	20110731	20991231	
4186137	4146067	Has interpretation	20110731	20991231	
4305694	4047446	Has causative agent	20110731	20991231	
4168286	443082	Has due to	20110731	20991231	
4170795	4235039	Has method	20110731	20991231	
4192549	4044177	Has method	20110731	20991231	
4342770	4197082	Has dir proc site	20110731	20991231	
4223608	4122068	Has active ing	20110731	20991231	
4198570	4044177	Has method	20110731	20991231	
198212	4179955	Has asso morph	20110731	20991231	
4204668	4044912	Has method	20110731	20991231	
4173632	4184344	Has asso morph	20110731	20991231	
40480463	4044177	Has method	20110731	20991231	
4114440	4139804	Has pathology	20110731	20991231	
4111400	4163835	Has asso morph	20110731	20991231	
4144137	4024511	Has dir subst	20110731	20991231	
4154638	4053347	Has interpretation	20110731	20991231	
440313	4187029	Has causative agent	20110731	20991231	
4020859	4044177	Has method	20110731	20991231	
4233167	4234570	Has method	20110731	20991231	
4212044	4034054	Has dir proc site	20110731	20991231	
4273383	4057725	Has part of	20110731	20991231	
4310677	4001181	Has specimen	20110731	20991231	
4231689	4311963	Has dir morph	20110731	20991231	
4273314	4297090	Has interprets	20110731	20991231	
4158816	4010833	Has focus	20110731	20991231	
4123892	4117491	Has method	20110731	20991231	
4083624	4178172	Has finding site	20110731	20991231	
4210795	4224241	Has dose form	20110731	20991231	
4230205	4080761	Has laterality	20110731	20991231	
40481435	4207319	Has method	20110731	20991231	
4344032	4120133	Has part of	20110731	20991231	
4304923	4203162	Has dir proc site	20110731	20991231	
40483688	4044525	Has method	20110731	20991231	
40480729	4043866	Has method	20110731	20991231	
4212898	4044177	Has method	20110731	20991231	
4284828	4022675	Has dir subst	20110731	20991231	
4339977	4339094	Has indir proc site	20110731	20991231	
4054546	4295572	Has finding site	20110731	20991231	
4163346	4116830	Has occurrence	20110731	20991231	
4269889	4219601	Has finding site	20110731	20991231	
4321537	4238283	Has part of	20110731	20991231	
4004030	4044539	Has method	20110731	20991231	
4136984	4204067	Has part of	20110731	20991231	
4303314	4043703	Has method	20110731	20991231	
4095639	4269235	Has finding site	20110731	20991231	
4078972	4140159	Has method	20110731	20991231	
4116430	4159758	Has interpretation	20110731	20991231	
